Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
Comunitat Valenciana;Ambos sexos;1998;78,42
Comunitat Valenciana;Ambos sexos;1997;77,94
Comunitat Valenciana;Ambos sexos;1996;77,66
Comunitat Valenciana;Ambos sexos;1995;77,64
Comunitat Valenciana;Ambos sexos;1994;77,25
Comunitat Valenciana;Ambos sexos;1993;77,15
Comunitat Valenciana;Ambos sexos;1992;76,81
Comunitat Valenciana;Ambos sexos;1991;76,53
Comunitat Valenciana;Ambos sexos;1990;76,41
Comunitat Valenciana;Ambos sexos;1989;76,16
Comunitat Valenciana;Ambos sexos;1988;76,11
Comunitat Valenciana;Ambos sexos;1987;76,19
Comunitat Valenciana;Ambos sexos;1986;76,12
Comunitat Valenciana;Ambos sexos;1985;75,93
Comunitat Valenciana;Ambos sexos;1984;76,03
Comunitat Valenciana;Ambos sexos;1983;75,59
Comunitat Valenciana;Ambos sexos;1982;75,47
Comunitat Valenciana;Ambos sexos;1981;75,01
Comunitat Valenciana;Ambos sexos;1980;74,71
Comunitat Valenciana;Ambos sexos;1979;74,09
Comunitat Valenciana;Ambos sexos;1978;73,6
Comunitat Valenciana;Ambos sexos;1977;73,56
Comunitat Valenciana;Ambos sexos;1976;73,36
Comunitat Valenciana;Ambos sexos;1975;73
Extremadura;Ambos sexos;2020;81,78
Extremadura;Ambos sexos;2019;82,79
Extremadura;Ambos sexos;2018;82,5
Extremadura;Ambos sexos;2017;82,24
Extremadura;Ambos sexos;2016;82,29
Extremadura;Ambos sexos;2015;82,02
Extremadura;Ambos sexos;2014;82,34
Extremadura;Ambos sexos;2013;81,85
Extremadura;Ambos sexos;2012;81,43
Extremadura;Ambos sexos;2011;81,74
Extremadura;Ambos sexos;2010;81,21
Extremadura;Ambos sexos;2009;81,05
Extremadura;Ambos sexos;2008;81,03
Extremadura;Ambos sexos;2007;80,48
Extremadura;Ambos sexos;2006;80,43
Extremadura;Ambos sexos;2005;79,6
Extremadura;Ambos sexos;2004;79,82
Extremadura;Ambos sexos;2003;79,03
Extremadura;Ambos sexos;2002;79,38
Extremadura;Ambos sexos;2001;79,25
Extremadura;Ambos sexos;2000;78,83
Extremadura;Ambos sexos;1999;78,56
Extremadura;Ambos sexos;1998;78,6
Extremadura;Ambos sexos;1997;78,45
Extremadura;Ambos sexos;1996;77,94
Extremadura;Ambos sexos;1995;78,05
Extremadura;Ambos sexos;1994;77,8
Extremadura;Ambos sexos;1993;77,24
Extremadura;Ambos sexos;1992;77,26
Extremadura;Ambos sexos;1991;76,84
Extremadura;Ambos sexos;1990;76,6
Extremadura;Ambos sexos;1989;76,61
Extremadura;Ambos sexos;1988;76,56
Extremadura;Ambos sexos;1987;76,43
Extremadura;Ambos sexos;1986;75,81
Extremadura;Ambos sexos;1985;76,03
Extremadura;Ambos sexos;1984;75,85
Extremadura;Ambos sexos;1983;75,22
Extremadura;Ambos sexos;1982;75,93
Extremadura;Ambos sexos;1981;75,08
Extremadura;Ambos sexos;1980;74,79
Extremadura;Ambos sexos;1979;74,24
Extremadura;Ambos sexos;1978;73,89
Extremadura;Ambos sexos;1977;73,81
Extremadura;Ambos sexos;1976;73,51
Extremadura;Ambos sexos;1975;73,22
Galicia;Ambos sexos;2020;83,33
Galicia;Ambos sexos;2019;83,51
Galicia;Ambos sexos;2018;83,09
Galicia;Ambos sexos;2017;83,07
Galicia;Ambos sexos;2016;82,65
Galicia;Ambos sexos;2015;82,62
Galicia;Ambos sexos;2014;82,92
Galicia;Ambos sexos;2013;82,6
Galicia;Ambos sexos;2012;82,24
Galicia;Ambos sexos;2011;82,11
Galicia;Ambos sexos;2010;81,93
Galicia;Ambos sexos;2009;81,46
Galicia;Ambos sexos;2008;81,31
Galicia;Ambos sexos;2007;80,89
Galicia;Ambos sexos;2006;80,81
Galicia;Ambos sexos;2005;80,51
Galicia;Ambos sexos;2004;80,63
Galicia;Ambos sexos;2003;79,87
Galicia;Ambos sexos;2002;80
Galicia;Ambos sexos;2001;79,87
Galicia;Ambos sexos;2000;79,29
Galicia;Ambos sexos;1999;79,14
Galicia;Ambos sexos;1998;78,91
Galicia;Ambos sexos;1997;78,61
Galicia;Ambos sexos;1996;77,85
Galicia;Ambos sexos;1995;77,92
Galicia;Ambos sexos;1994;77,86
Galicia;Ambos sexos;1993;77,52
Galicia;Ambos sexos;1992;77,32
Galicia;Ambos sexos;1991;76,83
Galicia;Ambos sexos;1990;76,52
Galicia;Ambos sexos;1989;76,74
Galicia;Ambos sexos;1988;76,7
Galicia;Ambos sexos;1987;76,63
Galicia;Ambos sexos;1986;75,98
Galicia;Ambos sexos;1985;76,1
Galicia;Ambos sexos;1984;76,19
Galicia;Ambos sexos;1983;75,86
Galicia;Ambos sexos;1982;75,77
Galicia;Ambos sexos;1981;75,31
Galicia;Ambos sexos;1980;75,2
Galicia;Ambos sexos;1979;74,39
Galicia;Ambos sexos;1978;73,95
Galicia;Ambos sexos;1977;73,48
Galicia;Ambos sexos;1976;73,28
Galicia;Ambos sexos;1975;72,96
Madrid, Comunidad de;Ambos sexos;2020;82,33
Madrid, Comunidad de;Ambos sexos;2019;84,99
Madrid, Comunidad de;Ambos sexos;2018;84,78
Madrid, Comunidad de;Ambos sexos;2017;84,53
Madrid, Comunidad de;Ambos sexos;2016;84,54
Madrid, Comunidad de;Ambos sexos;2015;84
Madrid, Comunidad de;Ambos sexos;2014;84,22
Madrid, Comunidad de;Ambos sexos;2013;84,14
Madrid, Comunidad de;Ambos sexos;2012;83,64
Madrid, Comunidad de;Ambos sexos;2011;83,63
Madrid, Comunidad de;Ambos sexos;2010;83,39
Madrid, Comunidad de;Ambos sexos;2009;82,93
Madrid, Comunidad de;Ambos sexos;2008;82,58
Madrid, Comunidad de;Ambos sexos;2007;82,08
Madrid, Comunidad de;Ambos sexos;2006;82,06
Madrid, Comunidad de;Ambos sexos;2005;81,5
Madrid, Comunidad de;Ambos sexos;2004;81,24
Madrid, Comunidad de;Ambos sexos;2003;80,63
Madrid, Comunidad de;Ambos sexos;2002;80,81
Madrid, Comunidad de;Ambos sexos;2001;80,58
Madrid, Comunidad de;Ambos sexos;2000;80,36
Madrid, Comunidad de;Ambos sexos;1999;80,19
Madrid, Comunidad de;Ambos sexos;1998;79,93
Madrid, Comunidad de;Ambos sexos;1997;79,97
Madrid, Comunidad de;Ambos sexos;1996;79,18
Madrid, Comunidad de;Ambos sexos;1995;78,81
Madrid, Comunidad de;Ambos sexos;1994;78,75
Madrid, Comunidad de;Ambos sexos;1993;78,32
Madrid, Comunidad de;Ambos sexos;1992;78,1
Madrid, Comunidad de;Ambos sexos;1991;77,58
Madrid, Comunidad de;Ambos sexos;1990;77,39
Madrid, Comunidad de;Ambos sexos;1989;77,59
Madrid, Comunidad de;Ambos sexos;1988;77,41
Madrid, Comunidad de;Ambos sexos;1987;77,47
Madrid, Comunidad de;Ambos sexos;1986;77,68
Madrid, Comunidad de;Ambos sexos;1985;76,93
Madrid, Comunidad de;Ambos sexos;1984;76,9
Madrid, Comunidad de;Ambos sexos;1983;76,36
Madrid, Comunidad de;Ambos sexos;1982;76,77
Madrid, Comunidad de;Ambos sexos;1981;75,79
Madrid, Comunidad de;Ambos sexos;1980;76,24
Madrid, Comunidad de;Ambos sexos;1979;75,85
Madrid, Comunidad de;Ambos sexos;1978;75,39
Madrid, Comunidad de;Ambos sexos;1977;75,1
Madrid, Comunidad de;Ambos sexos;1976;74,71
Madrid, Comunidad de;Ambos sexos;1975;74,58
Murcia, Región de;Ambos sexos;2020;82,27
Murcia, Región de;Ambos sexos;2019;82,63
Murcia, Región de;Ambos sexos;2018;82,65
Murcia, Región de;Ambos sexos;2017;82,41
Murcia, Región de;Ambos sexos;2016;82,52
Murcia, Región de;Ambos sexos;2015;82,22
Murcia, Región de;Ambos sexos;2014;82,47
Murcia, Región de;Ambos sexos;2013;82,28
Murcia, Región de;Ambos sexos;2012;81,72
Murcia, Región de;Ambos sexos;2011;81,71
Murcia, Región de;Ambos sexos;2010;81,62
Murcia, Región de;Ambos sexos;2009;80,9
Murcia, Región de;Ambos sexos;2008;80,43
Murcia, Región de;Ambos sexos;2007;80,3
Murcia, Región de;Ambos sexos;2006;80,27
Murcia, Región de;Ambos sexos;2005;79,71
Murcia, Región de;Ambos sexos;2004;79,54
Murcia, Región de;Ambos sexos;2003;79,11
Murcia, Región de;Ambos sexos;2002;78,96
Murcia, Región de;Ambos sexos;2001;78,95
Murcia, Región de;Ambos sexos;2000;78,42
Murcia, Región de;Ambos sexos;1999;77,9
Murcia, Región de;Ambos sexos;1998;78,22
Murcia, Región de;Ambos sexos;1997;78,06
Murcia, Región de;Ambos sexos;1996;78,05
Murcia, Región de;Ambos sexos;1995;78,04
Murcia, Región de;Ambos sexos;1994;77,61
Murcia, Región de;Ambos sexos;1993;77,46
Murcia, Región de;Ambos sexos;1992;77,07
Murcia, Región de;Ambos sexos;1991;76,49
Murcia, Región de;Ambos sexos;1990;76,23
Murcia, Región de;Ambos sexos;1989;76,08
Murcia, Región de;Ambos sexos;1988;76,65
Murcia, Región de;Ambos sexos;1987;76,82
Murcia, Región de;Ambos sexos;1986;76,28
Murcia, Región de;Ambos sexos;1985;75,83
Murcia, Región de;Ambos sexos;1984;75,76
Murcia, Región de;Ambos sexos;1983;75,28
Murcia, Región de;Ambos sexos;1982;75,57
Murcia, Región de;Ambos sexos;1981;75
Murcia, Región de;Ambos sexos;1980;74,42
Murcia, Región de;Ambos sexos;1979;74,61
Murcia, Región de;Ambos sexos;1978;74,16
Murcia, Región de;Ambos sexos;1977;74,02
Murcia, Región de;Ambos sexos;1976;73,48
Murcia, Región de;Ambos sexos;1975;73,04
Navarra, Comunidad Foral de;Ambos sexos;2020;83,36
Navarra, Comunidad Foral de;Ambos sexos;2019;84,57
Navarra, Comunidad Foral de;Ambos sexos;2018;84,16
Navarra, Comunidad Foral de;Ambos sexos;2017;83,82
Navarra, Comunidad Foral de;Ambos sexos;2016;83,83
Navarra, Comunidad Foral de;Ambos sexos;2015;83,76
Navarra, Comunidad Foral de;Ambos sexos;2014;83,46
Navarra, Comunidad Foral de;Ambos sexos;2013;83,5
Navarra, Comunidad Foral de;Ambos sexos;2012;83,42
Navarra, Comunidad Foral de;Ambos sexos;2011;83,47
Navarra, Comunidad Foral de;Ambos sexos;2010;83,68
Navarra, Comunidad Foral de;Ambos sexos;2009;82,9
Navarra, Comunidad Foral de;Ambos sexos;2008;82,29
Navarra, Comunidad Foral de;Ambos sexos;2007;82,2
Navarra, Comunidad Foral de;Ambos sexos;2006;82,02
Navarra, Comunidad Foral de;Ambos sexos;2005;81,62
Navarra, Comunidad Foral de;Ambos sexos;2004;81,46
Navarra, Comunidad Foral de;Ambos sexos;2003;80,91
Navarra, Comunidad Foral de;Ambos sexos;2002;80,83
Navarra, Comunidad Foral de;Ambos sexos;2001;81,01
Navarra, Comunidad Foral de;Ambos sexos;2000;80,4
Navarra, Comunidad Foral de;Ambos sexos;1999;80,15
Navarra, Comunidad Foral de;Ambos sexos;1998;79,97
Navarra, Comunidad Foral de;Ambos sexos;1997;80,06
Navarra, Comunidad Foral de;Ambos sexos;1996;79,44
Navarra, Comunidad Foral de;Ambos sexos;1995;79,31
Navarra, Comunidad Foral de;Ambos sexos;1994;79,32
Navarra, Comunidad Foral de;Ambos sexos;1993;78,92
Navarra, Comunidad Foral de;Ambos sexos;1992;78,92
Navarra, Comunidad Foral de;Ambos sexos;1991;78,08
Navarra, Comunidad Foral de;Ambos sexos;1990;78,14
Navarra, Comunidad Foral de;Ambos sexos;1989;77,89
Navarra, Comunidad Foral de;Ambos sexos;1988;77,72
Navarra, Comunidad Foral de;Ambos sexos;1987;77,42
Navarra, Comunidad Foral de;Ambos sexos;1986;76,97
Navarra, Comunidad Foral de;Ambos sexos;1985;76,6
Navarra, Comunidad Foral de;Ambos sexos;1984;76,89
Navarra, Comunidad Foral de;Ambos sexos;1983;76,12
Navarra, Comunidad Foral de;Ambos sexos;1982;75,88
Navarra, Comunidad Foral de;Ambos sexos;1981;75,87
Navarra, Comunidad Foral de;Ambos sexos;1980;75,2
Navarra, Comunidad Foral de;Ambos sexos;1979;75,2
Navarra, Comunidad Foral de;Ambos sexos;1978;74,36
Navarra, Comunidad Foral de;Ambos sexos;1977;74,54
Navarra, Comunidad Foral de;Ambos sexos;1976;73,85
Navarra, Comunidad Foral de;Ambos sexos;1975;73,05
País Vasco;Ambos sexos;2020;83,17
País Vasco;Ambos sexos;2019;83,97
País Vasco;Ambos sexos;2018;83,65
País Vasco;Ambos sexos;2017;83,54
País Vasco;Ambos sexos;2016;83,43
País Vasco;Ambos sexos;2015;83,09
País Vasco;Ambos sexos;2014;83,35
País Vasco;Ambos sexos;2013;83,13
País Vasco;Ambos sexos;2012;82,75
País Vasco;Ambos sexos;2011;82,46
País Vasco;Ambos sexos;2010;82,42
País Vasco;Ambos sexos;2009;81,98
País Vasco;Ambos sexos;2008;81,74
País Vasco;Ambos sexos;2007;81,34
País Vasco;Ambos sexos;2006;81,49
País Vasco;Ambos sexos;2005;80,86
País Vasco;Ambos sexos;2004;80,78
País Vasco;Ambos sexos;2003;80,26
País Vasco;Ambos sexos;2002;80,16
País Vasco;Ambos sexos;2001;80,18
País Vasco;Ambos sexos;2000;79,61
País Vasco;Ambos sexos;1999;79,4
País Vasco;Ambos sexos;1998;79
País Vasco;Ambos sexos;1997;79,04
País Vasco;Ambos sexos;1996;78,19
País Vasco;Ambos sexos;1995;78,16
País Vasco;Ambos sexos;1994;78,35
País Vasco;Ambos sexos;1993;78,04
País Vasco;Ambos sexos;1992;77,66
País Vasco;Ambos sexos;1991;77,11
País Vasco;Ambos sexos;1990;76,98
País Vasco;Ambos sexos;1989;77,21
País Vasco;Ambos sexos;1988;76,77
País Vasco;Ambos sexos;1987;76,7
País Vasco;Ambos sexos;1986;76,14
País Vasco;Ambos sexos;1985;76,14
País Vasco;Ambos sexos;1984;76,04
País Vasco;Ambos sexos;1983;75,72
País Vasco;Ambos sexos;1982;75,87
País Vasco;Ambos sexos;1981;75,05
País Vasco;Ambos sexos;1980;74,77
País Vasco;Ambos sexos;1979;74,44
País Vasco;Ambos sexos;1978;73,94
País Vasco;Ambos sexos;1977;73,59
País Vasco;Ambos sexos;1976;73,17
País Vasco;Ambos sexos;1975;72,74
Rioja, La;Ambos sexos;2020;82,47
Rioja, La;Ambos sexos;2019;83,81
Rioja, La;Ambos sexos;2018;83,61
Rioja, La;Ambos sexos;2017;83,6
Rioja, La;Ambos sexos;2016;83,79
Rioja, La;Ambos sexos;2015;83,36
Rioja, La;Ambos sexos;2014;83,78
Rioja, La;Ambos sexos;2013;83,61
Rioja, La;Ambos sexos;2012;82,66
Rioja, La;Ambos sexos;2011;82,85
Rioja, La;Ambos sexos;2010;82,95
Rioja, La;Ambos sexos;2009;82,52
Rioja, La;Ambos sexos;2008;81,93
Rioja, La;Ambos sexos;2007;81,49
Rioja, La;Ambos sexos;2006;81,88
Rioja, La;Ambos sexos;2005;80,97
Rioja, La;Ambos sexos;2004;81,35
Rioja, La;Ambos sexos;2003;80,6
Rioja, La;Ambos sexos;2002;80,48
Rioja, La;Ambos sexos;2001;80,55
Rioja, La;Ambos sexos;2000;80,43
Rioja, La;Ambos sexos;1999;79,45
Rioja, La;Ambos sexos;1998;79,66
Rioja, La;Ambos sexos;1997;79,85
Rioja, La;Ambos sexos;1996;79,16
Rioja, La;Ambos sexos;1995;79,1
Rioja, La;Ambos sexos;1994;79,01
Rioja, La;Ambos sexos;1993;78,47
Rioja, La;Ambos sexos;1992;77,94
Rioja, La;Ambos sexos;1991;77,76
Rioja, La;Ambos sexos;1990;76,83
Rioja, La;Ambos sexos;1989;77,33
Rioja, La;Ambos sexos;1988;77,27
Rioja, La;Ambos sexos;1987;76,51
Rioja, La;Ambos sexos;1986;76,94
Rioja, La;Ambos sexos;1985;76,08
Rioja, La;Ambos sexos;1984;77,09
Rioja, La;Ambos sexos;1983;76,28
Rioja, La;Ambos sexos;1982;76,36
Rioja, La;Ambos sexos;1981;75,06
Rioja, La;Ambos sexos;1980;75,11
Rioja, La;Ambos sexos;1979;74,82
Rioja, La;Ambos sexos;1978;74,73
Rioja, La;Ambos sexos;1977;74,2
Rioja, La;Ambos sexos;1976;73,98
Rioja, La;Ambos sexos;1975;73,2
Ceuta;Ambos sexos;2020;79,28
Ceuta;Ambos sexos;2019;80,55
Ceuta;Ambos sexos;2018;80,51
Ceuta;Ambos sexos;2017;79,31
Ceuta;Ambos sexos;2016;80,73
Ceuta;Ambos sexos;2015;80,27
Ceuta;Ambos sexos;2014;79,88
Ceuta;Ambos sexos;2013;79,38
Ceuta;Ambos sexos;2012;80,18
Ceuta;Ambos sexos;2011;79,43
Ceuta;Ambos sexos;2010;78,52
Ceuta;Ambos sexos;2009;78,09
Ceuta;Ambos sexos;2008;78,76
Ceuta;Ambos sexos;2007;77,92
Ceuta;Ambos sexos;2006;78,16
Ceuta;Ambos sexos;2005;77,95
Ceuta;Ambos sexos;2004;77,89
Ceuta;Ambos sexos;2003;77,58
Ceuta;Ambos sexos;2002;76,77
Ceuta;Ambos sexos;2001;77,95
Ceuta;Ambos sexos;2000;78,08
Ceuta;Ambos sexos;1999;76,21
Ceuta;Ambos sexos;1998;75,76
Ceuta;Ambos sexos;1997;76,04
Ceuta;Ambos sexos;1996;74,97
Ceuta;Ambos sexos;1995;75,88
Ceuta;Ambos sexos;1994;75,98
Ceuta;Ambos sexos;1993;75,74
Ceuta;Ambos sexos;1992;75,97
Ceuta;Ambos sexos;1991;74,8
Ceuta;Ambos sexos;1990;73,41
Ceuta;Ambos sexos;1989;74,68
Ceuta;Ambos sexos;1988;74,66
Ceuta;Ambos sexos;1987;74,61
Ceuta;Ambos sexos;1986;73,69
Ceuta;Ambos sexos;1985;72,47
Ceuta;Ambos sexos;1984;73,8
Ceuta;Ambos sexos;1983;73,34
Ceuta;Ambos sexos;1982;72,51
Ceuta;Ambos sexos;1981;73,01
Ceuta;Ambos sexos;1980;71,57
Ceuta;Ambos sexos;1979;71,1
Ceuta;Ambos sexos;1978;70,03
Ceuta;Ambos sexos;1977;71,78
Ceuta;Ambos sexos;1976;70,76
Ceuta;Ambos sexos;1975;70,52
Melilla;Ambos sexos;2020;78,82
Melilla;Ambos sexos;2019;80,71
Melilla;Ambos sexos;2018;80,22
Melilla;Ambos sexos;2017;80,28
Melilla;Ambos sexos;2016;80,49
Melilla;Ambos sexos;2015;79,93
Melilla;Ambos sexos;2014;80,06
Melilla;Ambos sexos;2013;80,36
Melilla;Ambos sexos;2012;80,3
Melilla;Ambos sexos;2011;79,93
Melilla;Ambos sexos;2010;81,13
Melilla;Ambos sexos;2009;80,56
Melilla;Ambos sexos;2008;78,41
Melilla;Ambos sexos;2007;78,78
Melilla;Ambos sexos;2006;78,21
Melilla;Ambos sexos;2005;78,53
Melilla;Ambos sexos;2004;77,66
Melilla;Ambos sexos;2003;77,18
Melilla;Ambos sexos;2002;77,31
Melilla;Ambos sexos;2001;77,4
Melilla;Ambos sexos;2000;76,87
Melilla;Ambos sexos;1999;77,14
Melilla;Ambos sexos;1998;75,27
Melilla;Ambos sexos;1997;76,16
Melilla;Ambos sexos;1996;77,22
Melilla;Ambos sexos;1995;76,25
Melilla;Ambos sexos;1994;75,2
Melilla;Ambos sexos;1993;76,24
Melilla;Ambos sexos;1992;78,14
Melilla;Ambos sexos;1991;76,12
Melilla;Ambos sexos;1990;74,79
Melilla;Ambos sexos;1989;75,17
Melilla;Ambos sexos;1988;73,87
Melilla;Ambos sexos;1987;75,76
Melilla;Ambos sexos;1986;74,79
Melilla;Ambos sexos;1985;74,91
Melilla;Ambos sexos;1984;74,76
Melilla;Ambos sexos;1983;74,88
Melilla;Ambos sexos;1982;74,81
Melilla;Ambos sexos;1981;74,76
Melilla;Ambos sexos;1980;74,1
Melilla;Ambos sexos;1979;72,81
Melilla;Ambos sexos;1978;72,11
Melilla;Ambos sexos;1977;73,52
Melilla;Ambos sexos;1976;73,29
Melilla;Ambos sexos;1975;73,56
